from,to
idgaf,i don't give a fuck
idgaff,i don't give a flying fuck
idgafs,i don't give a fuck shit
idgara,i don't give a rat's ass
idgas,i don't give a shit
idgi,i don't get it
idiftl,i did it for the lulz
idjit,idiot
idk,i don't know
idkabtt,i dont know about that
idkbibt,i don't know but i've been told
idke,i don't know ethier
idkh,i don't know how
idkh2s,i don't know how to spell
idkt,i don't know that
idkw,i don't know why
idkwiwdwu,i don't know what i would do without you
idkwts,i don't know what to say
idkwurta,i don't know what you are talking about.
idkwym,i don't know what you mean
idky,i don't know you
idkyb,i don't know why but
idkymb2,i didn't know yoru mom blogs too
idl,i don't like
idli,i don't like it
idlu,i don't like you
idly,i don't like you
idlyitw,i don't like you in that way
idm,i don't mind
idmhw,im doing my homework
idn,i don't know
idnk,i don't know
idno,i do not know
idntk,i dont need to know
idnwths,i do not want to have sex
idonno,i do not know
idop,it depends on price
idot,idiot
idr,i don't remember
idrc,i don't really care
idrfk,i don't really fuck know
idrgaf,i don't really give a fuck
idrgaff,i don't really give a flying fuck
idrk,i don't really know
idrts,i don't really think so
idst,i didnt say that
idsw,i don't see why
idta,i did that already
idtbbf,i deserve to be blown first
idtis,i don't think i should
idtkso,i don't think so
idts,i don't think so
idunno,i do not know
iduwym,i don't understand what you mean.
idw2,i don't want to
idw2n,i don't want to know
idwk,i don't wanna know
idwt,i don't want to
idwtg,i don't want to go
idwtub,i dont want to upset you but
idyat,idiot
iebkac,issue exists between keyboard and chair
ief,its esthers fault
ietf,internet engineering task force
if/ib,in the front or in the back
ifab,i found a bug
iff,if and only if
ifh8tabx,i fucking hate this acronym bollocks
ifhu,i fuck hate you
ifhy,i fuck hate you
ifk,i fuck know
iflu,i fuck love you
ifthtb,i find that hard to belive
ifttt,if this then that
ifu,i fucked up
ifwis,i forgot what i said
ifyp,i feel your pain
ig,i guess
ig2g,i got to go
ig5oi,i got 5 on it
igahp,i've got a huge penis
igalboc,i've got a lovely bunch of cocnuts
igg,i gotta go
iggp,i gotta go pee
ight,alright
igkymfa,i'm gonna kick your mother fuck ass
ign,ive got nothing
igs,i guess so
igt,i got this
igtg,i've got to go
igtgt,i got to go tinkle
igtkya,im going to kick your ass
igtp,i get the point
igu,i give up
igws,it goes without saying
igwst,it goes without saying that
igyb,i got your back
igyhtbt,i guess you had to be there
ih,it happens
ih2gp,i have to go pee
ih2p,i'll have to pass
ih8,i hate
ih8evry1,i hate everyone
ih8mls,i hate my little sister
ih8p,i hate parents
ih8tu,i hate you
ih8u,i hate you
ih8usm,i hate you so much
ih8y,i hate you
iha,i hate acronyms
ihac,i have a customer
ihaim,i have another instant message
ihat3u,i hate you
ihistr,i hope i spelled that right
ihiwydt,i hate it when you do that
ihml,i hate my life
ihmp,i hate my parents
ihnc,i have no clue
ihnfc,i have no fuck clue
ihni,i have no idea
ihno,i have no opinion
iht,i heard that
ihtfp,i hate this fuck place
ihtgttbwijd,"i have to go to the bathroom, wait i just did."
ihtp,i have to poop
ihtsm,i hate this so much
ihtutbr,i have to use the bathroom
ihu,i hate you
ihurg,i hate your guts
ihusb,i hate you so bad
ihusfm,i hate you so fuck much
ihusm,i hate you so much
ihy,i hate you
ihya,i hate you all
ihysm,i hate you so much
ihysmrn,i hate you so much right now
iiabdfi,if it aint broke
iigh,alright
iight,alright
iiio,intel inside
iimad,if it makes any difference
iinm,if im not mistaken
iiok,is it okay
iir,if i remember
iirc,if i recall correctly
iistgtbtipi,if it sounds too good to be true it probably is
iit,is it tight
iitlyto,if its too loud youre too old
iitm,its in the mail
iitywimwybmad,if i tell you what it means will you buy me a drink
iitywybmad,"if i tell you, will you buy me a drink?"
iiuc,if i understand correctly
iiw2,is it web 2.0?
iiwii,it is what it is
iiwm,if it were me
ij,indide joke
ijaf,it's just a fact
ijcomk,i just came on my keyboard
ijdk,i just don't know
ijdl,i just died laughing
ijeomk,i just ejaculated on my keybord
ijf,i just farted
ijgl,i just got laid
ijit,idiot
ijk,i'm just kidding
ijp,internet job posting
ijpmp,i just peed my pants
ijpms,i just pissed myself
ijr,i just remembered
ijs,i'm just saying
ijsabomomcibstg,i just saved a bunch of money on my car insurance by switching to geico
ijwtk,i just want to know
ijwts,i just want to say
ik,i know
ikaloplt,i know a lot of people like that
iki,i know it
ikic,i know i can
ikm,i know man
ikr,"i know, right?"
ikt,i knew that
ikwud,i know what you did
ikwum,i know what you meant
ikwyl,i know where you live
ikwym,i know what you mean
ikyabwai,i know you are but what am i
ila,i love acronyms
ilbbaicnl,i like big butts and i can not lie
ilbcnu,i'll be seeing you
ilcul8r,i'll see you later
ilf,i love female dominance
ilhsm,i love him/her so much
ili,i love it
iliciscomk,i laughed
ilk2fku,i would like to fuck you
ilm,i love male dominance
ilmj,i love my job
ilml,i love my life
ilms,i love my self
ilotibinlirl,"i'm laughing on the internet, but i'm not laughing in real life"
ilshipmp,i laughed so hard i peed my pants
iltf,i love to fuck
iltwummf,i love the way you make me feel
iltwymmf,i love the way you make me feel
ilu,i love you
ilu2,i love you too
iluaaf,i love you as a friend
ilul,i love you loads
ilulafklc,i love you like a fat kid loves cake.
ilum,i love you more
ilusfm,i love you so fuck much
ilusm,i love you so much
iluvm,i love you very much
iluvu,i love you
iluvya,i love you
iluwamh,i love you with all my heart
ilvu,i love you
ily,i love you
ily2,i love you too
ily4e,i love you forever
ily4ev,i love you forever
ilyaas,i love you as a sister
ilyal,i like you a lot
ilyb,i love you bitch
ilybby,i love you baby
ilybtid,i love you but then i don't
ilyf,i'll love you forever
ilygsm,i love you guys so much
ilykthnxbai,i love you k thanks bye
ilyl,i love you loads
ilylab,i love you like a brother
ilylabf,i love you like a best friend
ilylafklc,i love you like a fat kid loves cake
ilylas,i love you like a sister
ilylc,i love you like crazy
ilym,i love you more
ilymtyk,i love you more than you know
ilymtylm,i love you more than you love me
ilys,i love you sexy
ilysfm,i love you so fuck much
ilysfmb,i love you so fuck much baby
ilysm,i love you so much
ilysmih,i love you so much it hurts
ilysmm,i love you so much more
ilysmydek,i love you so much you don't even know
ilysvm,i love you so very much
ilyvm,i love you very much
ilywamh,i love you with all my heart
im,i am
im'd,instant messaged
im26c4u,i am too sexy for you
im2bz2p,i am too busy to even pee
ima,i am a
imao,in my arrogant opinion
imb,i am back
imcdo,in my conceited dogmatic opinion
imco,in my considered opinion
ime,in my experience
imed,instant messaged
imezru,i am easy
imfao,in my fuck arrogant opinion
imfkd^,i am fucked up
imfo,in my fuck opinion
imgc,i might get caught
imh,i am here
imhbco,in my humble but correct opinion
imhe,in my humble experience
imheiuo,in my high exalted informed unassailable opinion
imhif,i move how i feel
imho,in my honest opinion
imi,i mean it
imjs,im just saying
imm,instant message me
imma,i'm going to
imml,i make myself laugh
imnerho,in my not even remotely humble opinion
imnl,i'm not laughing
imnshmfo,in my not so humble mother fuck opinion
imnsho,in my not so humble honest opinion
imo,in my opinion
imoo,in my own opinion
imowha,i made out with himher anyway
impo,in my personal opinion
impov,in my point of view
imr,in my room
imru,i am
ims,i am sorry
imsb,i am so bored
imsry,i am sorry
imtaw,it may take a while
imts,i meant to say
imu,i miss you
imusm,i miss you so much
imvho,in my very humble opinion
imwtk,inquiring minds want to know
imy,i miss you
imy2,i miss you to
imya,i miss you already
imysfm,i miss you so fuck much
in2,into
inb4,in before
inbd,it's no big deal
incld,include
incrse,increase
ind2p,i need to pee
indie,independent
inef,it's not even funny
inet,internet
inh,i need help
inho,in my honest opinion
inhwh,i need homework help
init,isn't it
inmp,it's not my problem
innit,isn't it
innw,if not now when
ino,i know
inpo,in no particular order
instagib,instant kill
instakill,instant kill
intarwebs,internet
intel,intelligence
interweb,internet
intpftpotm,i nominate this post for the post of the month
inttwmf,i am not typing this with my fingers
inucosm,its no use crying over spilt milk
invu,i envy you
ioh,i'm out of here
iois,indicators of interest
iokiya,it's ok if you are
iomw,i'm on my way
ion,index of names
ionno,i don't know
iono,i don't know
iot,in order to
iotd,image of the day
iottco,intuitively obvious to the casual observer
iou,i owe you
ioud,inside
iow,in other words
ioya,i'd own your ass
ioyk,if only you knew
ip,internet protocol
ipn,im posting naked
irc,internet relay chat
ircd,internet relay chat daemon
ircx,internet relay chat extension
irdc,i really don't care
irdgaf,i really don't give a fuck
irdk,i really don't know
irgtgbtw,i've really got to get back to work
irhtgttbr,i really have to go to the bathroom
irhy,i really hate you
irl,in real life
irly,i really love you
irncot,id rather not comment on that
irt,in regards to
irtf,i'll return the favor
is2g,i swear to god
isagn,i see a great need
isb,i'm so bored.
isbya,im sorry but you asked
isd,internet slang dictionary
ise,internal server error
isfly,i so fuck love you
isg,i speak geek
ish,insert sarcasm here
ishii,i see how it is
isianmtu,i swear i am not making this up
isj,inside joke
iso,in search of
isp,internet service provider
iss,im so sorry
issoys,im so sick of your stuff or s or stories
issygti,im so sure you get the idea
istg,i swear to god
istm,it seems to me
istr,i seem to remember
istwfn,i stole this word from noslang.com
iswc,if stupid were a crime
iswydt,i see what you did there
iswym,i see what you mean
isyals,ill send you a letter soon
ita,i totally agree
itb,in the butt
itc,in that case
itd,in the dark
ite,alright
itfa,in the final analysis
itigbs,i think im going to be sick
itk,in the know
itm,in the money
itma,its that man again
itmfa,impeach the mother fucker already
itn,i think not
its,intense text sex
its a d8,its a date
itsfwi,if the shoe fits wear it
itt,in this thread
ityk,i thought you knew
ityltk,i thought you'd like to know
itys,i told you so
itz,it's
itzk,it's ok
iu2u,it is up to you
iucmd,if you catch my drift
iukwim,if you know what i mean
ium,if you must
iunno,i don't know
iuno,i dunno
iuri,if you are interested
ive,i have
iw2f,i want to fuck
iw2fu,i want to fuck you
iw2mu,i want to meet you
iwaa,it was an accident
iwalu,i will always love you
iwbaptakyaiysta,i will buy a plane ticket and kick your ass if you say that again
iwbni,it would be nice if
iwbrbl@r,i will be right back later
iwc,in which case
iwfu,i wanna fuck you
iwfusb,i wanna fuck you so bad
iwfy,i want to fuck you
iwfybo,i will fuck your brains out
iwg,it was good
iwhi,i would hit it
iwhswu,i want to have sex with you
iwiwu,i wish i was you
iwjk,i was just kidding
iwk,i wouldn't know
iwlu4e,i will love you for ever
iwmu,i will miss you
iwmy,i will miss you
iws,i want sex
iwsn,i want sex now
iwsul8r,i will see you later
iwtfu,i want to fuck you
iwtfy,i want to fuck you
iwthswy,i want to have sex with you
iwtk,i want to know
iwtly,i want to love you
iwu,i want you
iwuwh,i wish you were here
iwy,i want you
iwyb,i want your body
iwyn,i want you now
iwythmb,i want you to have my baby
iya,in your ass
iyam,if you ask me
iyaoyas,if you aint ordinance you aint shit
iyc,if you can
iycssnasdsaaa,if you cant say something nice about someone dont say anything at all
iyd,in your dreams
iydhantsdsaaa,if you don't have anything nice to say don't say anything at all
iydmma,if you don't mind me asking
iyf,in your face
iyfd,in your fucking dreams
iyfeg,insert your favorite ethnic group
iyflg,if you're feeling less generous
iygm,if you get me
iykwim,if you know what i mean
iykwimaityd,if you know what i mean and i think you do
iym,i am your man
iynaegbtm,if you need anything else get back to me
iyo,in your opinion
iyq,i like you
iyss,if you say so
iyswim,if you see what i mean
iywt,if you want to
iz,is
j*****a*,jackass
j**c*l*s,jackass
j-c,just chilling
j/a,just asking
j/c,just curious
j/j,just joking
j/k,just kidding
j/o,jackoff
j/p,just playing
j/s,just saying
j/t,just talking
j/w,just wondering
j00,you
j00r,your
j2bs,just to be sure
j2c,just too cute
j2f,just too funny
j2luk,just to let you know
j2lyk,just to let you know
j4f,just for fun
j4g,just for grins
j4l,just for laughs
j4t,just for today
j4u,just for you
j5m,just five minutes
jad,just another day
jafo,just another fucking onlooker
jafs,just a fucking salesman
jalaudlm,just as long as you don't leave me
jam,just a minute
jas,just a second
jb,jailbait
jbu,just between us
jc,just curious
jcam,just checking away message
jcath,just chilling at the house
jdfi,just fuck do it
jdi,just do it
jdmj,just doing my job
jealz,jealous
jebus,jesus
jeomk,just ejaculated on my keyboard
jf,just fooling
jfc,jesus fuck christ
jfdi,just fuck do it!
jff,just for fun
jfg,just for giggles
jfgi,just fuck google it
jfh,just fuck her
jfi,just forget it
jfj,jump for joy
jfk,just fuck kidding
jfl,just for laughs
jflts,just felt like typing something
jfn,just for now
jfo,just fuck off
jfr,just for reference
jftr,just for the record
jfu,just for you
jfwy,just fuck with you
jfyi,just for your information
jg2h,just go to hell
jgiyn,just google it you noob
jgmb,just google me btch
jgtfooh,just get the fuck out of here
jh,just hanging
jhm,just hold me
jho,just hanging out
jhom,just helping out my mafia
jhomf,just helping out my friends
jic,just in case
jit,just in time
jizz,semen
jj,just joking
jj/k,just joking
jja,just joking around
jk,just kidding
jka,just kidding around
jking,joking
jkl,just kidding loser
jklol,just kidding laughing out loud
jkn,joking
jks,jokes
jkz,jokes
jlma,just leave me alone
jlt,just like that
jm,just messing
jm2c,just my 2 cents
jma,just messing around
jml,just my luck
jmo,just my opinion
jms,just making sure
jom,just one minuite
joml,jesus on the main line
joo,you
jooc,just out of curiosity
jooce,juice
joor,your
joott,just one of those things
joy,jesus first
jp,just playing
js,just saying
jsa,just stop already
jsing,just saying
jst,just
jsu,just shut up
jsuk,just so you know
jsun,just so you know
jsut,just
jsyk,just so you know
jsyn,just so you know
jt,just teasing
jtay,just thinking about you
jtbs,just to be sure
jtc,join the club
jtfo,joke the fuck out
jtluk,just to let you know
jtlyk,just to let you know
jtoi,just thought of it
jtol,just thinking out loud
jtou,just thinking of you
jttsiowctw,just testing to see if other websites copy this word
jtty,just to tell you
jtumltk,just thought you might like to know
jtwii,just the way it is.
jtwiw,just the way it was.
jtyltk,just thought you'd like to know
jtysk,just thought you should know
juadlam,jumping up and down like a monkey
jumping the couch,acting strange
jus,just
juss,just
juz,just
juzt,just
jw,just wondering
jw2k,just wanted to know
jwas,just wait a second
jwing,just wondering
jwtlyk,just wanted to let you know
jyfihp,jam your finger in her potty
k,ok
k3wl,cool
k4y,kiss for you
ka,kick ass
kab,kick ass bitch
kafn,kill all fuck noobs
kah,kisses and hugs
kaw,kick ass work
kay,okay
kb,kilobite
kbd,keyboard
kc,keep cool
kcco,keep calm chive on
kek,laughing out loud
kewel,cool
kewl,cool
kfc,kentucky fried chicken
kfy,kiss for you
khitbash,kick her in the box and shove her
khuf,know how you feel
khyf,know how you feel
kia,killed in action
kib,"okay, im back"
kibo,knowledge in
kic,keep it clean
kicks,sneakers
kig,keep it going
kiled,killed
kinda,kind of
kippers,kids in parents pockets eroding retirement savings
kir,kid in room
kis,keep it simple
kisa,knight in shining armor
kiss,keep it simple stupid
kit,keep in touch
kitfo,knock it the fuck off
kitteh,kitten
kitty,pussy
kity,keep it to yourself
kiu,keep it up
kiwf,kill it with fire
kk,cool cool
kkk,ku klux klan
kkthnxbye,okay thanks bye
kky,kinky
kl,cool
km,kiss me
kma,kiss my ass
kmag,kiss my ass goodbye
kmao,kick my ass off
kmb,kiss my butt
kmba,kiss my black ass
kmfa,kiss my fuck ass
kmfha,kiss my fat hairy ass
kmhba,kiss my hairy big ass
kmim,keep me in mind
kml,killing myself laughing
kmn,kill me now
kmp,kill me please
kmria,kiss my royal irish arse
kmsl,killing myself laughing
kmsla,kiss my shiny little ass
kmswl,killing myself with laughter
kmuf,kiss me you fool
kmwa,kiss my white ass
knackered,drunk
knewb,new player
knn,fuck your mother
kno,know
knw,know
ko,knock out
kok,knock
kol,kiss on lips
koo,cool
kool,cool
kos,kid over shoulder
kotc,kiss on the cheek
kotd,kicks of the day
kotl,kiss on the lips
kotor,knights of the old republic
kots,keep on talking shit
kpc,keeping parents clueless
ks,kill steal
kss,kiss
kssd,kissed
kt,keep talking
ktc,kill the cat
ktfo,knocked the fuck out
kthanxbi,"okay, thanks. bye."
kthnxbai,"okay, thanks, bye"
kthnxbye,"okay, thanks, bye"
kthx,"ok, thank you"
kthxbai,ok thanks bye!
kthxbi,"ok, thank you, goodbye"
kthxbye,"ok, thank you, goodbye"
kthxgb,ok thanks goodbye
kthxmn,ok thanks man
kthz,ok thanks
ktnx,okay and thanks
kudt,dutch for fucked up life
kuhl,cool
kul,cool
kute,cute
kutgw,keep up the good work
kuwl,cool
kwik,quick
kwim,know what i mean
kwis,know what i'm saying?
kwit,quit
kwiz,quiz
kwl,cool
kwsta,kiss with serious tongue action
kwtsds,kiss where the sun don't shine
kyag,kiss your ass goodbye
kybc,keep your bum clean
kyfag,kiss your fuck ass goodbye
kyfc,keep your fingers crossed
kyko,keep your knickers on
kyms,keep your mouth shut
kync,keep your nose clean
kypo,keep your pants on
kys,kill yourself
kysoti,keep your stick on the ice
l,laugh
l&r,love and respect
l/m,left message
l0lz,laugh out loud
l2,learn to
l2m,listening to music
l2ms,laughing to myself
l2p,learn to play
l2r,learn to read
l337,elite
l33t,elite
l4m3rz,lamers
l8,late
l84skool,late for school
l8a,later
l8er,later
l8ers,later
l8r,see you later
l8rs,laters
l8rz,later
l8s,later
l8t,later
l8ta,later
l8ter,later
l8tr,later
l?^,lets hook up
l@u,laughing at you
labatyd,lifes a bitch and then you die
laff,laugh
lafs,love at first sight
lafw,listening but away from window
lagnaf,lets all get naked and fuck
lak,love and kisses
lal,laughing a little
lalol,lots and lots of laughs
lam,leave a message
lamf,like a motherfucker
lan,local area network
laoj,laughing at own joke
lappy,laptop
laq,lame ass quote
larp,live action role-play
lasb,lame ass stupid bitch
lat,laugh at that
lata,later
lates,later
latn,laugh at the newbs
latr,later
latwttb,laughing all the way to the bank
lau,laugh at you
lawd,lord
lawl,lauging out loud with a southern drawl
lawl'd,laughed out loud
lawled,laughed out loud
lawls,laughing out loud with a southern drawl
lawlz,laughing out loud with a southern drawl
lazer,laser
lazor,laser
lb?w/c,like bondage whips
lbh,let's be honest
lbig,laughing because i am gay
lbnr,laughing but not really
lbo,laughing butt off
lbr,little boy's room
lbs,laughing but serious
lbug,laughing because youre gay
lbvs,laughing but very serious
lcsnpc,low cost small notebook personal computer
ld,later dude
ldimedilligaf,look deeply into my eyes
ldr,long-distance relationship
ldttwa,lets do the time warp again
lee7,elite
leet,elite
legit,legitimate
leik,like
leme,let me
lemme,let me
lesbo,lesbian
less than 3,love
less than three,love
lez,lesbian
lezbean,lesbian
lezbo,lesbian
lezzzie,lesbian
lf,looking for
lf1m,looking for one more
lf2m,looking for 2 more
lfg,looking for group
lfl,let's fuck later
lfm,looking for mate
lfnar,laughing for no aparent reason
lfp,looking for potty
lfr,laughing for real
lfti,looking forward to it
lfu,lifes fucked up
lg,lifes good
lgb,lesbian/gay/bisexual
lgbnaf,lets get butt naked and fuck
lgbt,lesbian
lgbtq,"lesbien, gay, bisexual, transgender and queer."
lgds,let's go do something
lgf,little green footballs
lggd,let's go get drunk
lgmas,lord give me a sign
lgn,link goes nowhere
lgo,life goes on
lgot,let's go out tonight
lgr,little girls room
lgs,let's go shopping!
lh,laughing hysterically
lh6,lets have sex
lhao,laughing her ass off
lhk,love hugs kisses
lhm,lord have mercy
lho,laughing head off
lhos,lets have online sex
lhs,lets have sex
lhso,lets have sex online
lhsrn,let's have sex right now
lhu,lets hook up
lia,life is awesome
liaoyb,like it's any of your business
lib,lying in bed
lic,like i care
liec,like i even care
liek,like
liekz,likes
lifo,last in first out
lig,let it go
ligad,like i give a damn
ligaff,like i give a flying fuck
ligafs,like i give a flying shit
ligas,like i give a shit
lih,laugh in head
liita,love is in the air
lik,like
lil,little
lim,like it matters
limh,laugh in my head
liol,laugh insanely out loud
lir,let it rest
lirl,laughing in real life
lis,laughing in silence
liu,look it up
liv,live
liyf,laughing in your face
lj,live journal
ljbf,lets just be friends
lk,like
lke,like
lkitr,little kid in the room
ll,will
llab,laughing like a bitch
llap,live long and prosper
llc,laughing like crazy
llf,laugh like fuck
llh,laughing like hell
llol,literally laughing out loud
llom,like leno on meth
llt,looks like trouble
llta,lots and lots of thunderous applause
lltnt,live like theres no tomorrow
lm46,lets meet for sex
lm4a,lets meet for a joint
lm4aq,let's meet for a quickie.
lma,leave me alone
lmamf,leave me alone mother fuck
lmao,laughing my ass off
lmaol,laughing my ass out loud
lmaomtoaoa,laugh my ass off many times over and over again
lmaonade,laughing my ass off
lmaool,laughing my ass off out loud
lmaootf,laughing my ass off on the floor
lmaorof,laughing my ass off rolling on the floor
lmaorotf,laughing my ass off rolling on the floor
lmaowrotf,laughing my ass of while rolling on the floor
lmaowtntpm,laughing my ass off whilst trying not to piss myself
lmaoxh,laughing my ass off extremely hard
lmap,leave me alone please
lmb,lick my balls
lmbao,laughing my black ass off
lmbfwao,laughing my big fat white ass off
lmbo,laughing my butt off
lmbpo,laughing my booty pop off
lmcao,laughing my crazy ass off
lmclao,laughing my cute little ass off
lmd,lick my dick
lmfao,laughing my fuck ass off
lmfbo,laugh my fuck butt off
lmffao,laughing my fuck fat ass off
lmffo,laughing my fuck face off
lmfho,laughing my fuck head off
lmfo,laughing my face off
lmfpo,laughing my fuck potty off
lmfr,lets meet for real
lmfto,laughing my fuck tits off
lmg,let me guess
lmgdao,laughing my god damn ass off
lmgtfy,let me google that for you
lmhao,laughing my hairy ass off
lmho,laughing my heiny off
lmip,lets meet in person
lmirl,let's meet in real life
lmk,let me know
lmkhtwofy,let me know how that works out for you
lmks,let me know soon
lmkwc,let me know when clear
lmkwut,let me know what you think
lml,love my life
lmmfao,laughing my mother fuck ass off
lmmfaos,laughing my mother fuck ass off silly
lmmfas,laugh my mother fuck ass off
lmmffao,laughing my mother fuck fat ass off
lmo,leave me one
lmoa,left a message on your answering machine
lmoao,laughing my other ass off
lmp,lick my potty
lmpitw,let me put it this way
lmpo,laughing my panties off
lms,leave me some
lmsao,laughing my sexy ass off
lmso,laughing my socks off
lmta,like minds think alike
lmtc,left a message to contact
lmtcb,left message to call back
lmtd,limited
lmtfa,leave me the fuck alone
lmto,laughing my tits off
lmtus,let me tell you something
lmty,laughing more than you
lmvo,laugh my vagina off
ln,last name
lnk,link
lo,hello
lob,lying on bed
lobfl,laugh out bloody fuck loud
lobl,laugh out bloody loud
lof,laughing on floor
lofi,uncool
lofl,laugh out fuck loud
loflmao,laying on floor laughing my ass off
loi,laughing on the inside
lok,lots of kisses
lol,laughing out loud
lol wuss,laugh out loud with unintentional snort sound
lol'd,laughed out loud
lol2u,laugh out loud to you
lol@u,laugh out loud at you
lola,laugh out loud again
lolarotf,laughing out loud and rolling on the floor
lolaw,laugh out loud at work
lolbs,laugh out loud but seriously
lolcano,laugh out loud
lolci,"laughing out loud, crying inside"
lolcity,the whole city laughs out loud
lold,laughed out loud
lolees,laugh out loud
lolerz,laugh out loud
lolf,lots of love forever
lolin,laughing out loud
lolio,laugh out loud i own
lollam,laughing out loud like a maniac
lollercaust,an extreme event of hilarity
lollercoaster,laugh out loud (a lot)
lollerskates,laughing out loud
lolm,laugh out loud man
loln,laught out loud... not
lolngs,laghing out loud never gonna stop
lolocost,laugh out loud
lolol,"saying ""lol"" out loud"
lololz,laugh out loud
lolpimp,laughing out loud peeing in my pants
lolpmp,laugh out loud peed my pants
lolq,laugh out loud quietly
lolrof,laughing out loud while rolling on the floor.
lolrotf,laughing out loud rolling on the floor
lolrotf&icgu,laughing out loud rolling on the floor i cant get up
lols,laugh out loud
lolvq,laugh out loud very quietly
lolwtime,laughing out loud with tears in my eyes
lolz,laugh out loud
lombard,lots of money but a right dick
lomg,like oh my god
loml,love of my life
lomy,love of my life
lonh,lights on
lool,laughing outrageously out loud
loomm,laughing out of my mind
lopsod,long on promises
lore,learn once
lorl,laugh out real loud
lorrl,laugh out really really loud
lotf,laughing on the floor
loti,laughing on the inside
loto,laughing on the outside
lotr,lord of the rings
lou,laughing over you
lov,love
love,lots of voluntary effort
lovu,love you
loxen,laughing out loud
loxxen,laughing out loud
lozer,loser
lpb,low ping bastard
lpc,lead pipe cinch
lpiaw,large penis is always welcome
lpms,life pretty much sucks
lpos,lazy piece of shit
lq,laughing quietly
lq2m,laughing quietly to myself
lqtm,laugh quietly to myself
lqtms,laughing quietly to myself
lqts,laughing quietly to self
lrf,little rubber feet
lrfl,laughing really fuck loud
lrh,laughing really hard
lrqtms,laughing really quietly to myself
lrt,last retweet
lsb,life sucks balls
lsfw,less safe for work
lshic,laughing so hard i'm crying
lshid,laugh so hard i die
lshifabmh,laughing so hard i fell and broke my hip
lshipmp,laughing so hard i piss my pants
lshismp,laughed so hard i shit my pants
lshitipal,laughing so hard i think i peed a little
lshiwms,laughing so hard i wet myself
lshmbh,laughing so hard my belly hurts
lshmson,laughing so hard milk shot out nose
lshrn,laughing so hard right now
lsmih,laughing so much it hurts
lsr,loser
lsudi,lets see you do it
lsv,language
lt,long time
ltb,looking to buy
ltd,living the dream
ltf,lick the floor
lthtt,laughing too hard to type
ltic,laughing til i cry
ltio,laughing til i orgasm
ltip,laughting until i puke
ltl,let's talk later
ltm,listen to me
ltmq,laugh to myself quietly
ltms,laughing to my self
ltnc,long time no see
ltns,long time no see
ltnsoh,"long time, no see or hear"
ltnt,long time no talk
ltp,lay the pipe
ltr,later
lts,laughing to self
lttic,look the teacher is coming
lttpot,laughing to the point of tears
ltw,lead the way
ltywl,love the way you lie
lu2,love you too
lu2d,love you to death
lu4l,love you for life
lub,laugh under breath
luf,love
luff,love
lug,lesbian until graduation
luk,look
lukin,looking
lul,love you lots
lulab,love you like a brother
lulas,love you like a sister
lulu,locally undesireable land use
lulz,laughing out loud.
lumtp,love you more than pie
lumu,love you miss you
lumumi,love you miss you mean it
lurker,one who reads but doesn't reply
lurve,love
luser,user who is a loser
lusm,love you so much
luv,love
luver,lover
luvuvm,love you very much
luvv,love
luzar,loser
lv,love
lve,love
lvl,level
lvn,loving
lvr,lover
lvya,love you
lwih,look what i have
lwn,last week's news
lwr,launch when ready
lwu,laughing with you
lwwy,live while we\'re young
lwys,look what you started
ly,love you
ly2,love you to
ly4e,love you forever
lya,love you always
lyaab,love you as a brother
lyaaf,love you as a friend
lyao,laugh your ass off
lyb,love you babe
lybo,laugh your butt off
lycylbb,love you
lyf,life
lyfao,laughing your fuck ass off
lyfe,life
lyk,like
lyk3,like
lyke,like
lykyamy,love you
lyl,love you lots
lylab,love you like a brother
lylaba,love you like a brother always
lylad,love you like a dad
lylafklc,love you like a fat kid loves cake
lylal,love you lots and lots
lylam,love you like a mom
lylas,i love you like a sister
lylasa,love you like a sister always
lylb,love you later bye
lylno,love you like no other
lyls,love you lots
lymi,love you mean it
lysfm,love you so fuck much
lysm,love you so much
lysouaq,learn your shit or up and quit
lysyb,love ya
lyt,love you too
lyvm,love you very much
lywamh,love you with all my heart
lzer,laser
lzr,loser
m,male
m$,microsoft
m$wxp,microsoft windows xp
m&d,mom and dad
m'kay,okay
m.i.a,missing in action
m.o,makeout
m/b,maybe
m/f,male or female
m2,me too
m2ny,me too
m3,me
m473s,friends
m473z,friends
m4c,meet for coffee
m4f,male for female
m4m,male for male
m4w,men for women
m8,friend
m8 or m8s,mate or mates
m84l,mate for life
m8s,mates
m8t,mate
m8t's,friends
m9,mine
ma,mature audience
mabby,maybe
mabe,maybe
maga,make america great again
mah,my
mai,my
mamil,middle aged men in lycra
mao,my ass off
marvy,marvelous
masterb8,masterbate
mastrb8,masturbate.
mate,friend
maya,most advanced yet accessible
mayb,maybe
mayte,mate
mb,my bad
mbf,my best friend
mbfal,my best friend and lover
mbhsm,my boobs hurt so much
mbl8r,maybe later
mbn,must be nice
mbrfn,must be real fucking nice
mcds,mcdonalds
mcm,man crush monday
mcs,my computer sucks
mcse,microsoft certified systems engineer
md,doctor of medicine
mdf,my dear friend
mdk,murder death kill
mdr,mort de rire
me2,me too
meatcurtain,woman's private parts
meatspace,the real world
meeh,me
mego,my eyes glaze over
meh,whatever
mejr,my eyes just rolled
merp,modestly enlightened rich people
messg,message
mf,motherfucker
mf*er,motherfucker
mf2f4sx,meet face to face for sex
mfa,mother fuck asshole
mfah,motherfucker asshole
mfao,my fuck ass off
mfb,mother fuck bitch
mfd,multifunction device
